;von;bis;;
Datum:;03.11.2020;03.11.2020;;
Enthalt Z;156;156;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;566.40;93.10 %;
Auslagen;;;42.00;6.90 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;42.00;6.90 %;
5.0%;;;427.40;70.25 %;
16.0%;;;139.00;22.85 %;
Total;;;608.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;42.00;7.38 %;
5.0%;;;407.09;71.54 %;
16.0%;;;119.93;21.08 %;
Total;;;569.02;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;20.31;51.57 %;
16.0%;;;19.07;48.43 %;
Total;;;39.38;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;86;443.15;72.84 %;0.00
Maestro;;11;94.60;15.55 %;0.00
MasterCard;;1;2.50;0.41 %;0.00
Visa;;2;26.95;4.43 %;0.00
Visa Electron;;6;41.20;6.77 %;0.00
Total;;106;608.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;105.50;18.63 %;0.00
Martin;;;19.60;3.46 %;0.00
Mik;;;123.90;21.88 %;0.00
Moritz;;;37.75;6.66 %;0.00
Robin;;;2.50;0.44 %;0.00
Slobo;;;277.15;48.93 %;0.00
Total;;;566.40;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;3;9.00;100.00 %;
Total;;3;9.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;4.75;45.24 %;
Moritz  (50%);;1;5.75;54.76 %;
Total;;2;10.50;100.00 %;
;;;;
Tische;;;;;
Theke;;104;608.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;223;396.60;65.19 %;;0;0.00;;223;396.60
Sonstiges;;15;186.00;30.57 %;;0;0.00;;15;186.00
Speisen;;10;25.80;4.24 %;;0;0.00;;10;25.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;73;254.60;41.85 %;;0;0.00;;73;254.60
Röstkaffee;;12;147.00;24.16 %;;0;0.00;;12;147.00
Kaffee;;146;133.00;21.86 %;;0;0.00;;146;133.00
Equipment;;3;39.00;6.41 %;;0;0.00;;3;39.00
Speisen;;10;25.80;4.24 %;;0;0.00;;10;25.80
Non Kaffee;;4;9.00;1.48 %;;0;0.00;;4;9.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;28;89.60;14.73 %;;0;0.00;;28;89.60
ReCup ausgeben;0;75;75.00;12.33 %;;0;0.00;;75;75.00
Flat White;0;18;68.40;11.24 %;;0;0.00;;18;68.40
Caffé Latte;0;16;56.00;9.20 %;;0;0.00;;16;56.00
EL MORENO 250g;0;5;51.75;8.51 %;;0;0.00;;5;51.75
MUYU 500g;0;2;36.00;5.92 %;;0;0.00;;2;36.00
Hario V60 ceramic dripper white;0;1;25.00;4.11 %;;0;0.00;;1;25.00
Filterkaffee;0;9;22.50;3.70 %;;0;0.00;;9;22.50
Americano;0;9;22.50;3.70 %;;0;0.00;;9;22.50
DON PASCUAL 500g;0;1;20.00;3.29 %;;0;0.00;;1;20.00
Cappuccino groß;0;5;19.00;3.12 %;;0;0.00;;5;19.00
Café Crème;0;6;15.00;2.47 %;;0;0.00;;6;15.00
MUYU 250g;0;2;14.25;2.34 %;;0;0.00;;2;14.25
Pain au chocolat;0;5;14.00;2.30 %;;0;0.00;;5;14.00
Kakao;0;4;14.00;2.30 %;;0;0.00;;4;14.00
Hario V60 filter (100) 02;0;2;14.00;2.30 %;;0;0.00;;2;14.00
BUMBOGO 250g;0;1;13.50;2.22 %;;0;0.00;;1;13.50
LUA CLARA 250g;0;1;11.50;1.89 %;;0;0.00;;1;11.50
Espresso single;0;5;10.00;1.64 %;;0;0.00;;5;10.00
Americano groß;0;3;9.00;1.48 %;;0;0.00;;3;9.00
Croissant;0;4;8.00;1.31 %;;0;0.00;;4;8.00
Caffé Latte doppelt;0;2;7.60;1.25 %;;0;0.00;;2;7.60
Tea;0;2;7.00;1.15 %;;0;0.00;;2;7.00
Doppio;0;2;5.00;0.82 %;;0;0.00;;2;5.00
Espresso Macchiato;0;2;5.00;0.82 %;;0;0.00;;2;5.00
Banana Bread PINE NUT;0;1;3.80;0.62 %;;0;0.00;;1;3.80
Café Crème groß;0;1;3.00;0.49 %;;0;0.00;;1;3.00
Deckel ReCup;0;1;1.00;0.16 %;;0;0.00;;1;1.00
ReCup ausgeben **;0;1;1.00;0.16 %;;0;0.00;;1;1.00
ReCup zurücknehmen;0;34;-34.00;-5.59 %;;0;0.00;;34;-34.00
;;;;
