;von;bis;;
Datum:;24.10.2020;24.10.2020;;
Enthalt Z;147;147;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1822.50;99.31 %;
Auslagen;;;5.00;0.27 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;7.60;0.41 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;5.00;0.27 %;
5.0%;;;1521.90;83.28 %;
16.0%;;;300.60;16.45 %;
Total;;;1827.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;5.00;0.29 %;
5.0%;;;1449.62;84.58 %;
16.0%;;;259.26;15.13 %;
Total;;;1713.88;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;72.28;63.62 %;
16.0%;;;41.34;36.38 %;
Total;;;113.62;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;181;1105.75;60.51 %;0.00
Maestro;;31;377.15;20.64 %;3.80
MasterCard;;8;133.40;7.30 %;3.80
Visa;;5;47.40;2.59 %;0.00
Visa Electron;;14;163.80;8.96 %;0.00
Total;;239;1827.50;100.00 %;7.60
;;;;
Umsatzdetails;;;;;
Anna;;;328.10;18.00 %;2.00
Annacotta;;;485.70;26.65 %;0.00
Clara;;;272.60;14.96 %;0.00
Lena;;;634.40;34.81 %;5.60
Mik;;;101.70;5.58 %;0.00
Total;;;1822.50;100.00 %;7.60
;;;;
Stornos;;;;;
Kommunikationsfehler;;4;18.00;75.95 %;
vertippt;;2;5.70;24.05 %;
Total;;6;23.70;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;6.75;31.40 %;
moritz (50%);;1;14.75;68.60 %;
Total;;2;21.50;100.00 %;
;;;;
Tische;;;;;
Theke;;164;1318.20;72.13 %;
Tisch 1;;5;35.20;1.93 %;
Tisch 10;;1;3.80;0.21 %;
Tisch 11;;3;36.90;2.02 %;
Tisch 12;;1;7.00;0.38 %;
Tisch 13;;8;38.80;2.12 %;
Tisch 14;;1;7.30;0.40 %;
Tisch 15;;7;59.00;3.23 %;
Tisch 2;;10;63.30;3.46 %;
Tisch 20;;7;59.70;3.27 %;
Tisch 3;;3;18.40;1.01 %;
Tisch 30;;14;81.60;4.47 %;
Tisch 4;;5;25.60;1.40 %;
Tisch 5;;5;65.40;3.58 %;
Tisch 7;;1;7.30;0.40 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;405;1062.60;58.15 %;;6;7.60;;399;1055.00
Sonstiges;;34;432.00;23.64 %;;0;0.00;;34;432.00
Speisen;;89;332.90;18.22 %;;5;20.00;;84;312.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;238;831.00;45.47 %;;2;7.60;;236;823.40
Röstkaffee;;32;358.00;19.59 %;;0;0.00;;32;358.00
Speisen;;89;332.90;18.22 %;;5;20.00;;84;312.90
Kaffee;;151;198.00;10.83 %;;4;0.00;;147;198.00
Equipment;;2;74.00;4.05 %;;0;0.00;;2;74.00
Non Kaffee;;15;29.40;1.61 %;;0;0.00;;15;29.40
Sommer;;1;4.20;0.23 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;112;358.40;19.61 %;;0;0.00;;112;358.40
Flat White;0;46;174.80;9.56 %;;0;0.00;;46;174.80
Kuchen Maple Carrot;0;34;163.20;8.93 %;;2;9.60;;32;153.60
Cappuccino groß;0;30;114.00;6.24 %;;0;0.00;;30;114.00
MUYU 250g;0;8;76.00;4.16 %;;0;0.00;;8;76.00
Kinto travel tumbler;0;2;74.00;4.05 %;;0;0.00;;2;74.00
Banana Bread PINE NUT;0;18;68.40;3.74 %;;2;7.60;;16;60.80
Caffé Latte;0;16;56.00;3.06 %;;0;0.00;;16;56.00
FINCA ISNUL 250g;0;5;52.50;2.87 %;;0;0.00;;5;52.50
Caffé Latte doppelt;0;13;49.40;2.70 %;;2;7.60;;11;41.80
Kakao;0;14;49.00;2.68 %;;0;0.00;;14;49.00
EL MORENO 250g;0;4;46.00;2.52 %;;0;0.00;;4;46.00
Café Crème;0;17;42.50;2.33 %;;0;0.00;;17;42.50
DON PASCUAL 250g;0;4;42.00;2.30 %;;0;0.00;;4;42.00
ReCup ausgeben;0;40;40.00;2.19 %;;2;2.00;;38;38.00
Pain au chocolat;0;13;36.40;1.99 %;;1;2.80;;12;33.60
Filterkaffee;0;14;35.00;1.92 %;;0;0.00;;14;35.00
GUJI HADESO 250g;0;2;33.00;1.81 %;;0;0.00;;2;33.00
Croissant;0;16;32.00;1.75 %;;0;0.00;;16;32.00
Espresso Macchiato;0;12;30.00;1.64 %;;0;0.00;;12;30.00
Flat White auf Eis;0;7;29.40;1.61 %;;0;0.00;;7;29.40
Granola COCOS;0;7;29.40;1.61 %;;0;0.00;;7;29.40
LUA CLARA 250g;0;3;28.75;1.57 %;;0;0.00;;3;28.75
MUYU 500g;0;2;27.00;1.48 %;;0;0.00;;2;27.00
Espresso single;0;12;24.00;1.31 %;;0;0.00;;12;24.00
Kaltgetränk;0;8;22.40;1.23 %;;0;0.00;;8;22.40
EL MORENO 500g;0;1;22.00;1.20 %;;0;0.00;;1;22.00
BUMBOGO 250g;0;2;20.25;1.11 %;;0;0.00;;2;20.25
Doppio;0;6;15.00;0.82 %;;0;0.00;;6;15.00
Americano;0;6;15.00;0.82 %;;0;0.00;;6;15.00
Hand Brew;0;3;13.50;0.74 %;;0;0.00;;3;13.50
EL CARMEN Decaf 250g;0;1;10.50;0.57 %;;0;0.00;;1;10.50
Americano groß;0;3;9.00;0.49 %;;0;0.00;;3;9.00
Tea;0;2;7.00;0.38 %;;0;0.00;;2;7.00
Café Crème groß;0;2;6.00;0.33 %;;0;0.00;;2;6.00
Espresso Tonic;0;1;4.20;0.23 %;;0;0.00;;1;4.20
Croissant CREMA LIMA;0;1;3.50;0.19 %;;0;0.00;;1;3.50
Doppio Macchiato;0;1;3.00;0.16 %;;0;0.00;;1;3.00
Milchschaum Kids;0;5;0.00;0.00 %;;0;0.00;;5;0.00
ReCup zurücknehmen;0;35;-35.00;-1.92 %;;2;-2.00;;33;-33.00
;;;;
