;von;bis;;
Datum:;31.08.2020;31.08.2020;;
Enthalt Z;103;103;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1107.10;99.12 %;
Auslagen;;;6.00;0.54 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.80;0.34 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;6.00;0.54 %;
5.0%;;;945.30;84.92 %;
16.0%;;;161.80;14.54 %;
Total;;;1113.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;6.00;0.57 %;
5.0%;;;900.39;86.08 %;
16.0%;;;139.62;13.35 %;
Total;;;1046.01;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;44.91;66.94 %;
16.0%;;;22.18;33.06 %;
Total;;;67.09;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;119;706.20;63.44 %;0.00
Maestro;;22;210.30;18.89 %;2.30
MasterCard;;2;13.20;1.19 %;0.00
Visa;;13;153.40;13.78 %;0.00
Visa Electron;;3;30.00;2.70 %;1.50
Total;;159;1113.10;100.00 %;3.80
;;;;
Umsatzdetails;;;;;
Emanuel;;;18.00;1.63 %;0.00
Lena;;;428.20;38.68 %;3.40
Mik;;;206.70;18.67 %;0.00
Sebastian;;;265.70;24.00 %;0.00
Slobo;;;188.50;17.03 %;0.40
Total;;;1107.10;100.00 %;3.80
;;;;
Stornos;;;;;
vertippt;;3;14.00;100.00 %;
Total;;3;14.00;100.00 %;
;;;;
Rabatte;;;;;
10%;;1;3.90;100.00 %;
Total;;1;3.90;100.00 %;
;;;;
Tische;;;;;
Theke;;117;755.00;67.83 %;
Tisch 1;;4;21.60;1.94 %;
Tisch 10;;2;36.60;3.29 %;
Tisch 11;;2;13.90;1.25 %;
Tisch 12;;4;25.20;2.26 %;
Tisch 13;;3;15.40;1.38 %;
Tisch 14;;3;42.40;3.81 %;
Tisch 15;;4;41.90;3.76 %;
Tisch 2;;7;64.10;5.76 %;
Tisch 20;;5;53.00;4.76 %;
Tisch 3;;2;5.70;0.51 %;
Tisch 4;;3;17.80;1.60 %;
Tisch 5;;3;20.50;1.84 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;240;753.80;67.72 %;;18;56.30;;222;697.50
Speisen;;52;179.70;16.14 %;;4;13.10;;48;166.60
Sonstiges;;16;179.60;16.14 %;;2;21.00;;14;158.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;170;586.00;52.65 %;;15;48.30;;155;537.70
Speisen;;52;179.70;16.14 %;;4;13.10;;48;166.60
Röstkaffee;;16;179.60;16.14 %;;2;21.00;;14;158.60
Kaffee;;53;118.50;10.65 %;;3;8.00;;50;110.50
Non Kaffee;;10;30.10;2.70 %;;0;0.00;;10;30.10
Sommer;;5;12.80;1.15 %;;0;0.00;;5;12.80
Hafer;;2;6.40;0.57 %;;0;0.00;;2;6.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;91;291.20;26.16 %;;14;44.80;;77;246.40
Flat White;0;28;106.40;9.56 %;;0;0.00;;28;106.40
Cappuccino groß;0;24;91.20;8.19 %;;0;0.00;;24;91.20
Banana Bread PINE NUT;0;15;57.00;5.12 %;;2;7.60;;13;49.40
Caffé Latte;0;14;49.00;4.40 %;;1;3.50;;13;45.50
Prima Estate 250g;0;5;45.60;4.10 %;;1;9.50;;4;36.10
Kuchen Maple Carrot;0;9;43.20;3.88 %;;0;0.00;;9;43.20
Lua Clara 250g;0;3;34.50;3.10 %;;1;11.50;;2;23.00
Kakao;0;8;28.00;2.52 %;;0;0.00;;8;28.00
Croissant;0;14;28.00;2.52 %;;1;2.00;;13;26.00
Tea;0;7;24.50;2.20 %;;0;0.00;;7;24.50
Café Crème;0;9;22.50;2.02 %;;0;0.00;;9;22.50
Finca Isnul 250g;0;2;21.00;1.89 %;;0;0.00;;2;21.00
Pain au chocolat;0;7;19.60;1.76 %;;0;0.00;;7;19.60
Finca Isnul 500g;0;1;18.00;1.62 %;;0;0.00;;1;18.00
Espresso Macchiato;0;7;17.50;1.57 %;;0;0.00;;7;17.50
Granola COCOS;0;4;16.80;1.51 %;;0;0.00;;4;16.80
Divers. Röstkaffee;0;1;16.50;1.48 %;;0;0.00;;1;16.50
Espresso single;0;7;14.00;1.26 %;;1;2.00;;6;12.00
Bumbogo 250g;0;1;13.50;1.21 %;;0;0.00;;1;13.50
Flat White auf Eis;0;3;12.60;1.13 %;;0;0.00;;3;12.60
Doppio;0;5;12.50;1.12 %;;0;0.00;;5;12.50
Filterkaffee;0;5;12.50;1.12 %;;0;0.00;;5;12.50
Panini DUKKAH BETA;0;2;11.60;1.04 %;;0;0.00;;2;11.60
Don Pasquale 250g;0;1;10.50;0.94 %;;0;0.00;;1;10.50
El Carmen Decaf 250g;0;1;10.50;0.94 %;;0;0.00;;1;10.50
Papakuchi 250g;0;1;9.50;0.85 %;;0;0.00;;1;9.50
Café Crème groß;0;3;9.00;0.81 %;;1;3.00;;2;6.00
Hand Brew;0;2;9.00;0.81 %;;0;0.00;;2;9.00
Cold Brew;0;3;9.00;0.81 %;;0;0.00;;3;9.00
Caffé Latte doppelt;0;2;7.60;0.68 %;;0;0.00;;2;7.60
Americano;0;3;7.50;0.67 %;;0;0.00;;3;7.50
ReCup ausgeben;0;7;7.00;0.63 %;;0;0.00;;7;7.00
Cappuccino Hafer;0;2;6.40;0.57 %;;0;0.00;;2;6.40
Doppio Macchiato;0;2;6.00;0.54 %;;1;3.00;;1;3.00
Kaltgetränk;0;2;5.60;0.50 %;;0;0.00;;2;5.60
Croissant CREMA LIMA;0;1;3.50;0.31 %;;1;3.50;;0;0.00
Americano groß;0;1;3.00;0.27 %;;0;0.00;;1;3.00
Americano auf Eis;0;1;2.80;0.25 %;;0;0.00;;1;2.80
ReCup ausgeben *;0;1;1.00;0.09 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup zurücknehmen;0;2;-2.00;-0.18 %;;0;0.00;;2;-2.00
;;;;
