;von;bis;;
Datum:;19.06.2020;19.06.2020;;
Enthalt Z;39;39;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1515.99;96.90 %;
Auslagen;;;42.00;2.68 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;6.50;0.42 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;42.00;2.70 %;
19.0%;;;184.70;11.86 %;
7.0%;;;1331.29;85.45 %;
Total;;;1557.99;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;42.00;2.91 %;
19.0%;;;155.13;10.76 %;
7.0%;;;1244.07;86.32 %;
Total;;;1441.20;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;29.57;25.32 %;
7.0%;;;87.22;74.68 %;
Total;;;116.79;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;153;954.29;61.25 %;0.00
Maestro;;25;329.90;21.17 %;4.40
MasterCard;;4;34.40;2.21 %;0.00
Mehrzweckgutschein;;2;59.80;3.84 %;0.00
Visa;;2;32.60;2.09 %;0.00
Visa Electron;;7;147.00;9.44 %;2.10
Total;;193;1557.99;100.00 %;6.50
;;;;
Umsatzdetails;;;;;
Aiyana;;;1044.79;68.92 %;4.30
Anna;;;264.60;17.45 %;1.70
Emanuel;;;3.80;0.25 %;0.00
Martin;;;156.30;10.31 %;0.50
Moritz;;;8.50;0.56 %;0.00
Robin;;;38.00;2.51 %;0.00
Total;;;1515.99;100.00 %;6.50
;;;;
Stornos;;;;;
vertippt;;12;49.10;100.00 %;
Total;;12;49.10;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;22.50;85.52 %;
30%;;1;3.81;14.48 %;
Total;;2;26.31;100.00 %;
;;;;
Tische;;;;;
Theke;;114;889.50;57.09 %;
Tisch 1;;8;41.30;2.65 %;
Tisch 10;;5;36.50;2.34 %;
Tisch 11;;3;27.40;1.76 %;
Tisch 12;;6;37.90;2.43 %;
Tisch 13;;6;65.60;4.21 %;
Tisch 14;;2;20.40;1.31 %;
Tisch 15;;7;80.50;5.17 %;
Tisch 2;;6;44.89;2.88 %;
Tisch 20;;5;45.10;2.89 %;
Tisch 3;;7;86.10;5.53 %;
Tisch 30;;7;39.50;2.54 %;
Tisch 4;;7;82.30;5.28 %;
Tisch 5;;6;61.00;3.92 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;278;819.39;52.59 %;;0;0.00;;278;819.39
Sonstiges;;47;576.50;37.00 %;;0;0.00;;47;576.50
Speisen;;45;162.10;10.40 %;;0;0.00;;45;162.10
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;272;798.89;51.28 %;;0;0.00;;272;798.89
Röstkaffee;;41;536.50;34.44 %;;0;0.00;;41;536.50
Speisen;;45;162.10;10.40 %;;0;0.00;;45;162.10
Gutscheine;;4;40.00;2.57 %;;0;0.00;;4;40.00
Getränke ReCup;;6;20.50;1.32 %;;0;0.00;;6;20.50
AF Milch;;2;0.00;0.00 %;;0;0.00;;2;0.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;81;258.24;16.58 %;;0;0.00;;81;258.24
Flat White;0;31;117.80;7.56 %;;0;0.00;;31;117.80
Kuchen Maple Carrot;0;22;105.60;6.78 %;;0;0.00;;22;105.60
Cappuccino groß;0;24;91.20;5.85 %;;0;0.00;;24;91.20
Prima Estate 250g;0;8;76.00;4.88 %;;0;0.00;;8;76.00
Finca Isnul 250g;0;7;73.50;4.72 %;;0;0.00;;7;73.50
Caffé Latte klein;0;20;70.00;4.49 %;;0;0.00;;20;70.00
Prima Estate 1000g;0;2;68.00;4.36 %;;0;0.00;;2;68.00
Bumbogo 250g;0;5;60.75;3.90 %;;0;0.00;;5;60.75
El Carmen Decaf 500g;0;3;60.00;3.85 %;;0;0.00;;3;60.00
El Moreno 250g;0;5;51.75;3.32 %;;0;0.00;;5;51.75
Lua Clara 250g;0;4;46.00;2.95 %;;0;0.00;;4;46.00
10€ Gutschein;0;4;40.00;2.57 %;;0;0.00;;4;40.00
Croissant pur;0;16;32.00;2.05 %;;0;0.00;;16;32.00
Kakao;0;9;30.45;1.95 %;;0;0.00;;9;30.45
Don Pasquale 500g;0;2;30.00;1.93 %;;0;0.00;;2;30.00
Filterkaffee;0;11;27.50;1.77 %;;0;0.00;;11;27.50
Kaltgetränk;0;9;25.20;1.62 %;;0;0.00;;9;25.20
